                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6303,                 3.3911,                  1.455,                0.22571,                0.29082,                 0.2291,                0.13616,                 1.3832,                 2.7263,                 1.3039,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 1.7154,                 3.4387,                  1.508,                0.20695,                0.28281,                0.23287,                0.13886,                 1.3722,                 2.7113,                 1.2998,             5.5458e-05,             5.5458e-05,             5.5458e-05
                      3,                 1.3638,                 2.7694,                  1.314,                0.36686,                0.53863,                0.37601,                0.26179,                0.97972,                 2.7086,                 1.0176,             8.8587e-05,             8.8587e-05,             8.8587e-05
                      4,                 1.1719,                  1.489,                 1.0836,                0.39293,                0.71021,                0.56926,                0.42625,                0.92354,                 2.0806,                0.98868,             0.00012161,             0.00012161,             0.00012161
                      5,                 1.1381,                 1.2085,                 1.0398,                0.46934,                0.61957,                0.58089,                0.44254,                0.89176,                 3.0508,                0.95786,             0.00015451,             0.00015451,             0.00015451
                      6,                 1.0674,                 1.1454,                 1.0146,                0.28603,                0.66062,                0.46381,                0.34886,                0.90677,                 4.2476,                0.97041,             0.00018731,             0.00018731,             0.00018731
                      7,                 1.1608,                 1.0419,                 1.0572,                0.60612,                 0.6388,                0.66939,                0.52115,                0.94007,                 2.9348,                0.96807,                0.00022,                0.00022,                0.00022
                      8,                 1.0438,                0.79768,                0.99455,                0.63724,                0.69764,                0.70585,                0.55589,                0.91427,                 2.0296,                0.96564,             0.00025258,             0.00025258,             0.00025258
                      9,                 1.0104,                 0.7152,                 1.0096,                0.54864,                0.80452,                0.74024,                0.56569,                0.90707,                 2.5263,                 0.9808,             0.00028505,             0.00028505,             0.00028505
                     10,                 1.0616,                  0.702,                 1.0154,                0.50825,                0.76333,                0.54389,                0.41505,                0.96379,                 3.2988,                 0.9786,             0.00031741,             0.00031741,             0.00031741
                     11,                 1.0992,                0.88778,                 1.0321,                0.63073,                0.88716,                0.79517,                0.59586,                0.99495,                 4.8737,                0.99339,             0.00034965,             0.00034965,             0.00034965
                     12,                 1.1047,                 0.7926,                 1.0642,                 0.5458,                0.92486,                0.63819,                0.48232,                0.95936,                 11.207,                0.98365,             0.00038179,             0.00038179,             0.00038179
                     13,                 1.0556,                0.67677,                 1.0265,                0.50472,                0.76804,                 0.5995,                 0.4398,                0.99095,                 6.0993,                0.99187,             0.00041382,             0.00041382,             0.00041382
                     14,                 1.0817,                0.61577,                0.96255,                0.50181,                0.78167,                0.50251,                0.35542,                 1.1467,                 3.5295,                 1.0631,             0.00044574,             0.00044574,             0.00044574
                     15,                 1.0896,                0.73384,                 1.0226,                0.73635,                0.85363,                0.81345,                0.58656,                 1.0636,                 2.7381,                 1.0329,             0.00047755,             0.00047755,             0.00047755
                     16,                 1.0828,                0.69074,                 1.0227,                0.77832,                0.87288,                0.83909,                0.63051,                0.96077,                  2.535,                0.99543,             0.00050925,             0.00050925,             0.00050925
                     17,                 1.1734,                 0.8866,                 1.0441,                0.72005,                0.82193,                0.84749,                0.62178,                 1.0567,                 1.8825,                  1.034,             0.00054083,             0.00054083,             0.00054083
